"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.5? Tell 192.168.1.1"
"2","0.675773","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"3","0.703097","192.168.1.67","192.168.1.255","UDP","77","42281  >  15600 Len=35"
"4","0.907514","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"5","1.004963","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.186? Tell 192.168.1.1"
"6","1.365587","20.44.10.122","192.168.1.114","TLSv1.2","472","Application Data"
"7","1.371794","192.168.1.114","20.44.10.122","TLSv1.2","254","Application Data"
"8","1.413701","52.98.163.18","192.168.1.114","TLSv1.2","107","Application Data"
"9","1.413728","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=1 Ack=54 Win=1019 Len=0"
"10","1.513675","20.44.10.122","192.168.1.114","TLSv1.2","108","Application Data"
"11","1.514051","192.168.1.114","20.44.10.122","TLSv1.2","6011","Application Data"
"12","1.621578","192.168.1.89","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"13","1.655152","20.44.10.122","192.168.1.114","TCP","60","443  >  49575 [ACK] Seq=473 Ack=3081 Win=2053 Len=0"
"14","1.655481","20.44.10.122","192.168.1.114","TCP","60","443  >  49575 [ACK] Seq=473 Ack=6158 Win=2053 Len=0"
"15","1.930785","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"16","2.106931","162.159.134.234","192.168.1.114","TLSv1.2","110","Application Data"
"17","2.152974","192.168.1.114","162.159.134.234","TCP","54","64407  >  443 [ACK] Seq=1 Ack=57 Win=1024 Len=0"
"18","2.676860","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"19","2.955006","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"20","3.012090","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.186? Tell 192.168.1.1"
"21","3.703826","192.168.1.67","239.255.255.250","UDP","77","43949  >  15600 Len=35"
"22","3.978636","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"23","4.055555","192.168.1.52","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"24","4.066045","20.44.10.122","192.168.1.114","TLSv1.2","473","Application Data"
"25","4.068426","192.168.1.114","20.44.10.122","TLSv1.2","254","Application Data"
"26","4.210500","20.44.10.122","192.168.1.114","TLSv1.2","108","Application Data"
"27","4.210721","192.168.1.114","20.44.10.122","TLSv1.2","1130","Application Data"
"28","4.397820","20.44.10.122","192.168.1.114","TCP","60","443  >  49575 [ACK] Seq=946 Ack=7434 Win=2048 Len=0"
"29","4.678725","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"30","5.002772","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"31","5.604791","Technico_2e:eb:54","Broadcast","ARP","60","Who has 192.168.1.89? Tell 192.168.1.1"
"32","6.026566","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"33","6.408778","192.168.1.114","192.168.1.1","DNS","74","Standard query 0xbebd A www.google.com"
"34","6.413862","192.168.1.1","192.168.1.114","DNS","90","Standard query response 0xbebd A www.google.com A 142.250.180.132"
"35","6.414877","192.168.1.114","142.250.180.132","QUIC","1292","Initial, DCID=3fd6947a40f2f115, PKN: 1, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING"
"36","6.415181","192.168.1.114","142.250.180.132","QUIC","122","0-RTT, DCID=3fd6947a40f2f115"
"37","6.415411","192.168.1.114","142.250.180.132","QUIC","945","0-RTT, DCID=3fd6947a40f2f115"
"38","6.447846","142.250.180.132","192.168.1.114","QUIC","1292","Protected Payload (KP0)"
"39","6.447927","142.250.180.132","192.168.1.114","QUIC","824","Protected Payload (KP0)"
"40","6.448003","142.250.180.132","192.168.1.114","QUIC","117","Protected Payload (KP0)"
"41","6.448003","142.250.180.132","192.168.1.114","QUIC","67","Protected Payload (KP0)"
"42","6.448356","192.168.1.114","142.250.180.132","QUIC","120","Handshake, DCID=3fd6947a40f2f115"
"43","6.448427","192.168.1.114","142.250.180.132","QUIC","75","Protected Payload (KP0), DCID=3fd6947a40f2f115"
"44","6.463804","142.250.180.132","192.168.1.114","QUIC","162","Protected Payload (KP0)"
"45","6.463804","142.250.180.132","192.168.1.114","QUIC","67","Protected Payload (KP0)"
"46","6.463970","192.168.1.114","142.250.180.132","QUIC","75","Protected Payload (KP0), DCID=3fd6947a40f2f115"
"47","6.490499","192.168.1.114","142.250.180.132","QUIC","75","Protected Payload (KP0), DCID=3fd6947a40f2f115"
"48","6.529483","142.250.180.132","192.168.1.114","QUIC","1221","Protected Payload (KP0)"
"49","6.529778","192.168.1.114","142.250.180.132","QUIC","77","Protected Payload (KP0), DCID=3fd6947a40f2f115"
"50","6.537023","142.250.180.132","192.168.1.114","QUIC","67","Protected Payload (KP0)"
"51","6.537074","142.250.180.132","192.168.1.114","QUIC","117","Protected Payload (KP0)"
"52","6.537251","192.168.1.114","142.250.180.132","QUIC","75","Protected Payload (KP0), DCID=3fd6947a40f2f115"
"53","6.544519","142.250.180.132","192.168.1.114","QUIC","67","Protected Payload (KP0)"
"54","6.679879","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"55","6.703723","192.168.1.67","192.168.1.255","UDP","77","42682  >  15600 Len=35"
"56","6.834354","192.168.1.89","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"57","6.848535","20.44.10.122","192.168.1.114","TLSv1.2","472","Application Data"
"58","6.893413","192.168.1.114","20.44.10.122","TCP","54","49575  >  443 [ACK] Seq=7434 Ack=1364 Win=1024 Len=0"
"59","7.050495","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"60","7.415999","192.168.1.114","52.98.163.18","TLSv1.2","89","Application Data"
"61","7.452935","192.168.1.114","52.98.163.18","TLSv1.2","138","Application Data"
"62","7.471009","52.98.163.18","192.168.1.114","TCP","60","443  >  50105 [ACK] Seq=54 Ack=120 Win=16383 Len=0"
"63","7.476025","192.168.1.114","52.98.163.18","TLSv1.2","204","Application Data"
"64","7.491730","192.168.1.114","20.82.228.9","TCP","66","50256  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"65","7.500980","52.98.163.18","192.168.1.114","TLSv1.2","284","Application Data"
"66","7.501035","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=270 Ack=284 Win=1024 Len=0"
"67","7.541133","20.82.228.9","192.168.1.114","TCP","66","443  >  50256 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"68","7.541202","192.168.1.114","20.82.228.9","TCP","54","50256  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"69","7.541861","192.168.1.114","20.82.228.9","TLSv1.3","596","Client Hello"
"70","7.550688","52.98.163.18","192.168.1.114","TLSv1.2","966","Application Data"
"71","7.550749","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=270 Ack=1196 Win=1020 Len=0"
"72","7.550864","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"73","7.550879","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=270 Ack=1227 Win=1020 Len=0"
"74","7.590210","20.82.228.9","192.168.1.114","TCP","60","443  >  50256 [ACK] Seq=1 Ack=543 Win=64128 Len=0"
"75","7.593789","20.82.228.9","192.168.1.114","TLSv1.3","1506","Server Hello, Change Cipher Spec, Application Data"
"76","7.593833","192.168.1.114","20.82.228.9","TCP","54","50256  >  443 [ACK] Seq=543 Ack=1453 Win=262144 Len=0"
"77","7.593858","20.82.228.9","192.168.1.114","TCP","1506","443  >  50256 [PSH, ACK] Seq=1453 Ack=543 Win=64128 Len=1452 [TCP segment of a reassembled PDU]"
"78","7.593870","192.168.1.114","20.82.228.9","TCP","54","50256  >  443 [ACK] Seq=543 Ack=2905 Win=262144 Len=0"
"79","7.593940","20.82.228.9","192.168.1.114","TCP","1506","443  >  50256 [ACK] Seq=2905 Ack=543 Win=64128 Len=1452 [TCP segment of a reassembled PDU]"
"80","7.593940","20.82.228.9","192.168.1.114","TLSv1.3","621","Application Data, Application Data, Application Data"
"81","7.593959","192.168.1.114","20.82.228.9","TCP","54","50256  >  443 [ACK] Seq=543 Ack=4924 Win=262144 Len=0"
"82","7.595435","192.168.1.114","20.82.228.9","TLSv1.3","134","Change Cipher Spec, Application Data"
